Area_name,Code,Population_Est_2017,Household_Est_2017,Inland_Area_(Hectares),Population_density_(per_hectare)_2017,Mean_Age_2017,Proportion_pop_aged_0-15_2015,Proportion_pop_working-age_2015,Proportion_pop_aged_65_and_over_2015,Net_internal_migration_(2015),Net_international_migration_(2015),Net_natural_change_(2015),%_of_resident_pop_born_abroad_(2015),Largest_migrant_pop_by_country_of_birth_(2011),%_of_largest_migrant_pop_(2011),2nd_largest_migrant_pop_by_country_of_birth_(2011),%_of_2nd_largest_migrant_pop_(2011),3rd_largest_migrant_pop_by_country_of_birth_(2011),%_of_3rd_largest_migrant_population_(2011),%_of_pop_from_BAME_groups_(2016),Employment_rate_(%)_(2015),Male_employment_rate_(2015),Female_employment_rate_(2015),Unemployment_rate_(2015),Youth_Unemployment_(claimant)_rate_18-24_(Dec-15),Proportion_of_the_working-age_pop_who_claim_out-of-work_benefits_(%)_(May-2016),%_working-age_with_a_disability_(2015),Proportion_of_working_age_people_with_no_qualifications_(%)_2015,Proportion_of_working_age_with_degree_or_equivalent_and_above_(%)_2015,"Gross_Annual_Pay,_(2016)",Gross_Annual_Pay_-_Male_(2016),Gross_Annual_Pay_-_Female_(2016),Modelled_Household_median_income_estimates_2012/13,Number_of_jobs_by_workplace_(2014),%_of_employment_that_is_in_public_sector_(2014),"Jobs_Density,_2015","Number_of_active_businesses,_2015",Two-year_business_survival_rates_(started_in_2013),Crime_rates_per_thousand_population_2014/15,Fires_per_thousand_population_(2014),Ambulance_incidents_per_hundred_population_(2014),Median_House_Price_2015,"Average_Band_D_Council_Tax_charge_(£),_2015/16",New_Homes_(net)_2015/16_(provisional),Homes_Owned_outright_(2014)_%,Rented_from_Local_Authority_or_Housing_Association_(2014)_%,Rented_from_Private_landlord_(2014)_%,%_of_area_that_is_Greenspace_2005,Total_carbon_emissions_(2014),Household_Waste_Recycling_Rate_2014/15,Num_cars_(2011_Census),Num_cars_per_household_(2011_Census),%_of_adults_who_cycle_at_least_once_per_month_2014/15,5_or_more_A*-_C_grades_GCSE_2013/14,%_of_pupils_whose_first_language_is_not_English_(2015),%_children_living_in_out-of-work_households_(2015),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Teenage_conception_rate_(2014),Life_satisfaction_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),Childhood_Obesity_Prevalance_(%)_2015/16,People_aged_17+_with_diabetes_(%),Mortality_rate_from_causes_considered_preventable_2012/14,Turnout_at_2014_local_elections
City of London,E09000001,8800,5326,290,30.3,43.2,11.4,73.1,15.5,-7,665,30,NaN,United States,2.8,France,2,Australia,1.9,27.5,64.6,NaN,NaN,NaN,1.6,3.4,NaN,NaN,NaN,NaN,NaN,NaN,"£63,620",500400,3.4,84.3,26130,64.3,NaN,12.3,NaN,799999,931.2,80,NaN,NaN,NaN,4.8,1036,34.4,1692,0.4,16.9,78.6,NaN,7.9,NaN,NaN,NaN,6.6,6,5.6,NaN,2.6,129,.
Barking and Dagenham,E09000002,209000,78188,"3,611",57.9,32.9,27.2,63.1,9.7,-1176,2509,2356,37.8,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,65.8,75.6,56.5,11,4.5,10.5,17.2,11.3,32.2,27886,30104,24602,"£29,420",58900,21.1,0.5,6560,73,83.4,3,13.7,243500,1354.03,730,16.4,35.9,20.3,33.6,644,23.4,56966,0.8,8.8,58,41.7,18.7,77.6,82.1,32.4,7.1,7.1,3.1,28.5,7.3,228,36.5
Barnet,E09000003,389600,151423,"8,675",44.9,37.3,21.1,64.9,14,-3379,5407,2757,35.2,India,3.1,Poland,2.4,Iran,2,38.7,68.5,74.5,62.9,8.5,1.9,6.2,14.9,5.2,49,33443,36475,31235,"£40,530",167300,18.7,0.7,26190,73.8,62.7,1.6,11.1,445000,1397.07,1460,32.4,11.1,31.1,41.3,1415,38,144717,1.1,7.4,67.3,46,9.3,82.1,85.1,12.8,7.5,7.4,2.8,20.7,6,134,40.5
Bexley,E09000004,244300,97736,"6,058",40.3,39,20.6,62.9,16.6,413,760,1095,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,75.1,82.1,68.5,7.6,2.9,6.8,15.9,10.8,33.5,34350,37881,28924,"£36,990",80700,15.9,0.6,9075,73.5,51.8,2.3,11.8,275000,1472.43,-130,38.1,15.2,11.4,31.7,975,54,108507,1.2,10.6,60.3,32.6,12.6,80.4,84.4,19.5,7.4,7.2,3.3,22.7,6.9,164,39.6
Brent,E09000005,332100,121048,"4,323",76.8,35.6,20.9,67.8,11.3,-7739,7640,3372,53.9,India,9.2,Poland,3.4,Ireland,2.9,64.9,69.5,76,62.6,7.5,3.1,8.3,17.7,6.2,45.1,29812,30129,29600,"£32,140",133600,17.6,0.6,15745,74.4,78.8,1.8,12.1,407250,1377.24,1050,22.2,20.4,34.8,21.9,1175,35.2,87802,0.8,7.9,60.1,37.6,13.7,80.1,85.1,18.5,7.3,7.2,2.9,24.3,7.9,169,36.3
Bromley,E09000006,327900,140602,"15,013",21.8,40.2,19.9,62.6,17.5,1342,796,1445,18.3,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,75.3,80.4,70.4,5.3,2.5,6,15.9,4.3,46.7,37682,42026,32491,"£43,060",127800,13.9,0.6,15695,78.6,64.1,2.3,11.2,374975,1347.27,700,37.8,13.2,14.1,57.8,1180,48,153908,1.2,13,68,38.9,10.2,81.4,84.9,16.7,7.5,7.4,3.3,16,5.2,148,40.8
Camden,E09000007,242500,107654,"2,179",111.3,36.4,17.3,71,11.7,-2917,7504,1618,41.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,69.2,72.2,66.1,4,3.6,8.5,21.3,6.1,61.1,39796,NaN,36632,"£43,750",377400,12.4,2.2,31385,73.6,123.5,2.7,14.8,700000,1359.66,970,18.5,34.4,32,24.8,1288,26.3,46601,0.5,18.8,62.7,25.2,16.5,81.8,86.7,16.8,7.1,7.1,3.6,21.3,3.9,164,38.7
Croydon,E09000008,386500,159010,"8,650",44.7,37,22,64.9,13,-2605,2438,3164,29.4,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,75.4,81.8,69.5,4.1,4.8,7.8,17.5,7,40.6,32696,35839,29819,"£37,000",141600,20.1,0.6,15540,75.3,77,2.2,12.8,300000,1494.13,2040,30.8,16.7,18.6,37.1,1237,39.9,140049,1,12.8,57.7,36.7,14.1,80.3,83.6,28.4,7.1,7.2,3.3,24.5,6.5,178,38.6
Ealing,E09000009,351600,132663,"5,554",63.3,36.2,21.4,66.8,11.8,-6473,4007,3404,47.4,India,7.6,Poland,6.4,Ireland,2.3,53.5,72.7,81.2,63.8,5.8,3,7.9,15.2,9.1,49.7,31331,32185,29875,"£36,070",160500,13.6,0.7,18700,75.8,75.5,1.9,11.3,430000,1335.93,720,20.1,14.3,35,30.9,1342,40.1,112845,0.9,15,62.1,43.6,13.1,80.6,84.2,17.8,7.3,7.3,3.6,23.8,6.9,164,41.2
Enfield,E09000010,333000,130328,"8,083",41.2,36.3,22.8,64.4,12.8,-2077,3164,2769,35,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,42.3,73,80.4,66,3.8,3.3,9.3,18.4,4.5,43.4,31603,35252,30222,"£33,110",128800,21.7,0.6,13925,74.2,69.4,2.2,12.2,320000,1420.17,670,25.6,17.2,21,45.6,1245,38.5,119653,1,7.9,59.9,55.3,17.4,80.7,84.1,24.6,7.3,7.3,2.6,25.2,7,152,38.2
