Borough,Ward,Old code,New code,Population - 2015,Mean Age - 2013,Median Age - 2013,Area - Sq km,Population density (pp sq km) - 2013,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in year 6 obese- 2011/12 to 2013/14,Number Killed or Seriously Injured on the roads - 2014,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Mean Income 12-13,Median Income 12-13,% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,Claimant rate of key out-of-work benefits (working age client group) (2014),Rate of JobSeekers Allowance (JSA) Claimants - 2015,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,Crime rate - 2014/15,Violence against the person rate - 2014/15,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012,Area of Greenspace,% area that is open space - 2014,PM2.5 Concentration (µg/m3),MedHP/MedInc
City of London,City of London,00AA,E09000001,8100,41.3,39,3.2,2538.1,38.4,84.3,88.6,23.2,57,79.6,765000,99390,63620,42.3,16.5,35.9,5.1,1.3,0.9,24.2,0.7,6.7,68.4,656.4,85.3,5.3,48.5,4.8,18.6,17.59,12.02452059
Barking and Dagenham ,Abbey,00ABFX,E05000026,14750,29.5,29,1.3,10500,97.6,80.2,83.9,24.7,2,60.3,173000,38870,33920,32.7,26.7,38.6,15.1,4,8.7,55.3,1.4,16.4,34.5,138.1,42.2,0.8,25.7,19.8,21.9,15.39,5.100235849
Barking and Dagenham ,Alibon,00ABFY,E05000027,10600,33.8,33,1.4,7428.6,83.3,77.2,80.6,26,1,63.1,215000,37290,32470,45.1,36.8,15.9,20.7,3.7,12.4,61,1.5,31.2,16.7,73.6,27.3,1,20.3,22.9,20.6,14.86,6.621496766
Barking and Dagenham ,Becontree,00ABFZ,E05000028,12700,33,32,1.3,9269.2,101.1,79,79.3,29.3,3,61.2,210000,37860,33000,46.7,29.4,20.1,17.8,3.6,10.7,51.5,1.5,28,20.6,79.9,27.6,1.6,22.5,5.9,1.9,14.94,6.363636364
Barking and Dagenham ,Chadwell Heath,00ABGA,E05000029,10400,36.2,34,3.4,2985.3,73.6,79.2,82.2,24.6,6,63.6,240500,38860,33920,54,32,12.4,19.4,3.7,10.1,55.2,1.6,29.1,19.5,76.1,24.6,1.2,25.3,64.3,56,14.8,7.090212264
Barking and Dagenham ,Eastbrook,00ABGB,E05000030,10750,37.7,36,3.5,3028.6,73.2,77.1,81.1,21.6,2,68.2,240000,42780,37400,67.6,20,11.2,14.7,4,6.7,48.7,1.2,29.9,18.5,66.7,24.5,1.6,24.1,45.8,50.4,14.66,6.417112299
Barking and Dagenham ,Eastbury,00ABGC,E05000031,11900,33.4,32,1.4,8357.1,87.6,78.9,84.9,26.5,5,61.5,220000,37720,32870,44,37.4,17.3,18.1,3.6,11.1,52.5,1.4,28.9,20,82.2,24.9,1.5,21.5,15.8,17.1,15.25,6.693033161
Barking and Dagenham ,Gascoigne,00ABGD,E05000032,15850,29,29,1.1,12772.7,92.9,75.5,81.1,29,2,56.4,200000,34140,29480,23.7,54,18.3,19.5,4.1,14.7,57.2,1.3,25.5,25.2,75.8,20.3,1.4,25.6,19.6,20.8,15.62,6.784260516
Barking and Dagenham ,Goresbrook,00ABGE,E05000033,11450,34.1,33,1.3,8692.3,86.2,77.5,82.8,25.2,1,63.6,205000,38130,33250,43.1,37.3,15.8,18.9,3.5,11.1,57.3,1.2,30,18.8,74.8,25.8,1.7,20.5,19.1,14.1,15.16,6.165413534
Barking and Dagenham ,Heath,00ABGF,E05000034,11150,34.4,32,2,5475,88.4,76.5,80.1,26,3,61.4,215000,36080,31340,41.6,45.3,11.3,21.3,3.9,11.7,55.4,1.1,32.1,17.6,83.7,24.2,1.6,22.2,39.9,36.3,14.84,6.860242502
Barking and Dagenham ,Longbridge,00ABGG,E05000035,11900,35.2,32,1.6,7281.3,81.1,78.7,85.7,24.9,2,65.2,312750,46520,40570,70,13.1,15.3,11.1,2.3,4.9,44.5,0.8,22.7,25,57,16.6,1.1,30.6,22.4,28.3,15.03,7.708898201
Barking and Dagenham ,Mayesbrook,00ABGH,E05000036,10550,33.9,33,1.9,5473.7,90.2,76.8,83.3,24.3,1,61.9,212000,36280,31530,43.8,38.6,15.6,19.4,3.6,11,54.2,1.3,32.1,16.2,67.9,24.4,1.6,20.5,35.8,44.8,14.91,6.723755154
Barking and Dagenham ,Parsloes,00ABGJ,E05000037,10050,34.3,33,1.2,8250,76.9,76.1,83.5,26.5,2,61.5,213000,36640,31860,47.2,36.4,14.1,19.5,4.1,11.8,58.4,1.2,31.8,16,56.8,19.7,1.2,19.3,20.4,17.4,14.94,6.685499058
Barking and Dagenham ,River,00ABGK,E05000038,11950,33.4,32,3.6,3166.7,83.1,75,78.2,30.2,1,64.2,205500,38390,33490,51.9,25.7,20.6,16.7,3.4,10.2,51.2,1.3,29.9,19.5,85,29.3,1.4,22.4,16.8,20.5,15.09,6.136160048
Barking and Dagenham ,Thames,00ABGL,E05000039,18950,28.7,28,7.9,1867.1,62.9,76.2,84,27,3,60.5,219000,37400,32580,35.4,44.4,17.5,18.7,4,12.9,57.3,1.2,24.1,24.4,95.6,19.8,2.1,22.1,41.6,43.8,15.31,6.721915285
Barking and Dagenham ,Valence,00ABGM,E05000040,10250,34.8,34,1.3,7692.3,91.7,76.5,80.8,24.6,3,63.1,215000,38080,33200,47.3,37.4,13.8,21.5,2.5,10.1,49.8,1.6,32.1,17.8,68.3,18.3,1.5,20.3,17.2,11.8,14.95,6.475903614
Barking and Dagenham ,Village,00ABGN,E05000041,11050,34.5,33,2.1,5166.7,92,75.9,80.9,27.9,2,61.7,202500,36740,31960,40.3,39.9,17.4,19.1,4,10.6,53.8,1.5,30.3,17.9,90.8,29.8,2.4,23.7,46.5,47,14.75,6.336045056
Barking and Dagenham ,Whalebone,00ABGP,E05000042,11150,35.3,34,1.6,6781.3,84.8,79.9,87.2,22.8,1,67.5,235000,42530,37180,63.7,12.3,22.3,12.7,2.6,7.6,47.3,1.1,24,22.4,72.4,20.8,1,25.9,16.9,16,14.99,6.320602474
Barnet ,Brunswick Park,00ACFX,E05000043,17550,38.9,39,3.2,5218.8,51,82.3,84.8,16.5,0,71.4,435000,53440,39800,75.4,9,13.2,8.7,1.7,4.3,43.6,0.8,17.4,34.4,49.4,12,1,35.5,27.9,28,14.87,10.92964824
Barnet ,Burnt Oak,00ACFY,E05000044,19650,33.7,32,2.1,8857.1,74.3,76,81.4,25.3,8,63.7,250000,39000,29400,38,35.5,22.1,14.9,2.7,9.8,48,1.2,23.6,24.7,68.5,27,0.8,28.6,24.7,18.9,14.89,8.503401361
Barnet ,Childs Hill,00ACFZ,E05000045,21100,36.1,33,3.1,6516.1,59.6,79.4,82.6,16.9,6,67.9,507500,52190,38960,45,12.5,39.7,12,2.7,5.5,50.6,1.1,13.7,43.7,90.5,22.3,2.5,35.9,13.7,15.1,15.51,13.0261807
Barnet ,Colindale,00ACGA,E05000046,26600,32.1,30,2.6,8250,66.5,81.8,86,26,0,61.9,302500,39990,30170,36.3,34.3,26,14,3.1,8.5,49.1,1.3,18,30.8,58.9,16.9,1,29.9,31.8,19.8,15.06,10.02651641
Barnet ,Coppetts,00ACGB,E05000047,18050,36.3,35,2.7,6425.9,56.6,79.1,81.9,19.5,5,71.5,335000,50910,38090,56.8,13.4,26.7,10.8,2.1,5.9,49.3,0.9,15,40.6,75.6,17.1,2,35.1,32.3,40.3,15.31,8.794959307
Barnet ,East Barnet,00ACGC,E05000048,17100,38.3,38,3.8,4302.6,65.2,81,85.2,22.2,2,71.5,368000,53550,39870,67.9,9.8,20.3,9.4,1.9,5.2,43,0.6,17.1,36.5,44,13.9,0.9,35.3,35.8,34.8,14.67,9.229997492
Barnet ,East Finchley,00ACGD,E05000049,16850,37.2,36,2.5,6440,64.3,82.2,84.9,17.3,1,74.9,437500,55480,41160,50.2,22.2,25.5,10.3,1.6,4.2,46.9,0.8,14.1,49.6,47.5,11.3,3.1,41.2,39.5,37.8,15.34,10.6292517
Barnet ,Edgware,00ACGE,E05000050,17600,37.1,35,5.6,3017.9,72.7,84,87,17.1,2,69,455000,51380,38410,60.4,15.8,20.9,9.3,1.6,5.6,45.8,1,17,36,71.4,17.2,0.7,38.1,53.1,54,14.87,11.84587347
Barnet ,Finchley Church End,00ACGF,E05000051,16800,39.1,37,2.7,5925.9,56.9,84.2,88.4,11.6,5,72.6,528000,61510,45030,62.3,4.9,30.4,7.3,1.6,2.8,40.8,0.8,12.3,48.6,52,9.2,1.4,41.4,17,13.7,15.43,11.72551632
